"Hostname","CreationTime","Job Name","BackupSize(GB)","DataSize(GB)","Full/Inc","Status","Job Type","FileName","IsAvailable","FilePath"
"ausveeambr","6/1/2020 04:15:01","AUSVCENTER-NoTag","0.7169","2.0125","Increment","Successful","VMware Backup","ausveeambr.vm-476D2020-06-01T040530_B48C.vib","True","D:\Backups\AUSVCENTER-NoTag\ausveeambr.vm-476D2020-06-01T040530_B48C.vib"
"ausveeamone","6/1/2020 04:06:15","AUSVCENTER-NoTag","0.1782","0.4985","Increment","Successful","VMware Backup","ausveeamone.vm-452D2020-06-01T040530_5010.vib","True","D:\Backups\AUSVCENTER-NoTag\ausveeamone.vm-452D2020-06-01T040530_5010.vib"
"ausveeambr","6/1/2020 08:13:41","AUSVCENTER-NoTag","0.8487","2.2312","Increment","Successful","VMware Backup","ausveeambr.vm-476D2020-06-01T080519_D064.vib","True","D:\Backups\AUSVCENTER-NoTag\ausveeambr.vm-476D2020-06-01T080519_D064.vib"
"ausjump01","6/1/2020 08:07:43","AUSVCENTER-NoTag","0.017","0","Increment","Successful","VMware Backup","ausjump01.vm-451D2020-06-01T080519_B6B9.vib","True","D:\Backups\AUSVCENTER-NoTag\ausjump01.vm-451D2020-06-01T080519_B6B9.vib"
"ausveeamone","6/1/2020 08:06:05","AUSVCENTER-NoTag","0.3529","0.9887","Increment","Successful","VMware Backup","ausveeamone.vm-452D2020-06-01T080519_145B.vib","True","D:\Backups\AUSVCENTER-NoTag\ausveeamone.vm-452D2020-06-01T080519_145B.vib"
"ausdev01","6/1/2020 08:06:28","AUSVCENTER-NoTag","0.5425","1.3142","Increment","Successful","VMware Backup","ausdev01.vm-449D2020-06-01T080519_772E.vib","True","D:\Backups\AUSVCENTER-NoTag\ausdev01.vm-449D2020-06-01T080519_772E.vib"
"ausveeambem","6/1/2020 08:06:29","AUSVCENTER-NoTag","0.3424","1.0241","Increment","Successful","VMware Backup","ausveeambem.vm-467D2020-06-01T080519_BC4F.vib","True","D:\Backups\AUSVCENTER-NoTag\ausveeambem.vm-467D2020-06-01T080519_BC4F.vib"
"ausdev01","6/1/2020 12:06:30","AUSVCENTER-NoTag","0.7046","1.6043","Increment","Successful","VMware Backup","ausdev01.vm-449D2020-06-01T120521_C306.vib","True","D:\Backups\AUSVCENTER-NoTag\ausdev01.vm-449D2020-06-01T120521_C306.vib"
"ausjump01","6/1/2020 12:07:21","AUSVCENTER-NoTag","0.017","0","Increment","Successful","VMware Backup","ausjump01.vm-451D2020-06-01T120521_6A93.vib","True","D:\Backups\AUSVCENTER-NoTag\ausjump01.vm-451D2020-06-01T120521_6A93.vib"
"ausveeamone","6/1/2020 12:06:07","AUSVCENTER-NoTag","0.1332","0.3706","Increment","Successful","VMware Backup","ausveeamone.vm-452D2020-06-01T120521_C306.vib","True","D:\Backups\AUSVCENTER-NoTag\ausveeamone.vm-452D2020-06-01T120521_C306.vib"
"ausveeambem","6/1/2020 12:06:34","AUSVCENTER-NoTag","0.2197","0.5768","Increment","Successful","VMware Backup","ausveeambem.vm-467D2020-06-01T120521_0004.vib","True","D:\Backups\AUSVCENTER-NoTag\ausveeambem.vm-467D2020-06-01T120521_0004.vib"
"ausveeambr","6/1/2020 12:14:30","AUSVCENTER-NoTag","0.7136","2.0076","Increment","Successful","VMware Backup","ausveeambr.vm-476D2020-06-01T120521_F39B.vib","True","D:\Backups\AUSVCENTER-NoTag\ausveeambr.vm-476D2020-06-01T120521_F39B.vib"
"ausveeamone","6/1/2020 16:05:56","AUSVCENTER-NoTag","0.1697","0.4546","Increment","Successful","VMware Backup","ausveeamone.vm-452D2020-06-01T160510_D435.vib","True","D:\Backups\AUSVCENTER-NoTag\ausveeamone.vm-452D2020-06-01T160510_D435.vib"
"ausdev01","6/1/2020 16:05:54","AUSVCENTER-NoTag","0.7144","1.6326","Increment","Successful","VMware Backup","ausdev01.vm-449D2020-06-01T160510_97E8.vib","True","D:\Backups\AUSVCENTER-NoTag\ausdev01.vm-449D2020-06-01T160510_97E8.vib"
"ausveeambem","6/1/2020 16:05:58","AUSVCENTER-NoTag","0.3262","0.9704","Increment","Successful","VMware Backup","ausveeambem.vm-467D2020-06-01T160510_35D8.vib","True","D:\Backups\AUSVCENTER-NoTag\ausveeambem.vm-467D2020-06-01T160510_35D8.vib"
"ausveeambr","6/1/2020 16:13:54","AUSVCENTER-NoTag","0.6748","2.0105","Increment","Successful","VMware Backup","ausveeambr.vm-476D2020-06-01T160510_87DC.vib","True","D:\Backups\AUSVCENTER-NoTag\ausveeambr.vm-476D2020-06-01T160510_87DC.vib"
"ausjump01","6/1/2020 16:07:25","AUSVCENTER-NoTag","0.017","0","Increment","Successful","VMware Backup","ausjump01.vm-451D2020-06-01T160510_7FF1.vib","True","D:\Backups\AUSVCENTER-NoTag\ausjump01.vm-451D2020-06-01T160510_7FF1.vib"
"ausdev01","6/1/2020 20:06:14","AUSVCENTER-NoTag","0.6799","1.5935","Increment","Successful","VMware Backup","ausdev01.vm-449D2020-06-01T200531_2285.vib","True","D:\Backups\AUSVCENTER-NoTag\ausdev01.vm-449D2020-06-01T200531_2285.vib"
"ausveeambem","6/1/2020 20:06:19","AUSVCENTER-NoTag","0.1996","0.528","Increment","Successful","VMware Backup","ausveeambem.vm-467D2020-06-01T200531_5FCD.vib","True","D:\Backups\AUSVCENTER-NoTag\ausveeambem.vm-467D2020-06-01T200531_5FCD.vib"
"ausveeamone","6/1/2020 20:06:17","AUSVCENTER-NoTag","0.1604","0.436","Increment","Successful","VMware Backup","ausveeamone.vm-452D2020-06-01T200531_2285.vib","True","D:\Backups\AUSVCENTER-NoTag\ausveeamone.vm-452D2020-06-01T200531_2285.vib"
"ausveeambr","6/1/2020 20:14:28","AUSVCENTER-NoTag","0.6072","1.7351","Increment","Successful","VMware Backup","ausveeambr.vm-476D2020-06-01T200531_B9A7.vib","True","D:\Backups\AUSVCENTER-NoTag\ausveeambr.vm-476D2020-06-01T200531_B9A7.vib"
"ausjump01","6/1/2020 20:07:46","AUSVCENTER-NoTag","0.017","0","Increment","Successful","VMware Backup","ausjump01.vm-451D2020-06-01T200531_C845.vib","True","D:\Backups\AUSVCENTER-NoTag\ausjump01.vm-451D2020-06-01T200531_C845.vib"
"ausjump01","6/1/2020 23:22:15","AUSVCENTER-NoTag","3.6812","5.9424","Increment","Successful","VMware Backup","ausjump01.vm-451D2020-06-01T232135_F994.vib","True","D:\Backups\AUSVCENTER-NoTag\ausjump01.vm-451D2020-06-01T232135_F994.vib"
"ausjump01","6/1/2020 23:39:25","AUSVCENTER-NoTag","0.351","0.6885","Increment","Successful","VMware Backup","ausjump01.vm-451D2020-06-01T233832_B4F5.vib","True","D:\Backups\AUSVCENTER-NoTag\ausjump01.vm-451D2020-06-01T233832_B4F5.vib"
"ausveeambem","6/2/2020 00:05:58","AUSVCENTER-NoTag","18.1642","40.0007","Full","Successful","VMware Backup","ausveeambem.vm-467D2020-06-02T001543_56A6.vbk","True","D:\Backups\AUSVCENTER-NoTag\ausveeambem.vm-467D2020-06-02T001543_56A6.vbk"
"ausveeambr","6/2/2020 00:14:25","AUSVCENTER-NoTag","31.1851","80.0007","Full","Successful","VMware Backup","ausveeambr.vm-476D2020-06-02T001543_1A67.vbk","True","D:\Backups\AUSVCENTER-NoTag\ausveeambr.vm-476D2020-06-02T001543_1A67.vbk"
"ausdev01","6/2/2020 00:05:56","AUSVCENTER-NoTag","105.1293","200.0086","Full","Successful","VMware Backup","ausdev01.vm-449D2020-06-02T001542_CF99.vbk","True","D:\Backups\AUSVCENTER-NoTag\ausdev01.vm-449D2020-06-02T001542_CF99.vbk"
"ausveeamone","6/2/2020 00:05:25","AUSVCENTER-NoTag","15.1628","40.0001","Full","Successful","VMware Backup","ausveeamone.vm-452D2020-06-02T001543_F51B.vbk","True","D:\Backups\AUSVCENTER-NoTag\ausveeamone.vm-452D2020-06-02T001543_F51B.vbk"
"ausjump01","6/2/2020 00:07:01","AUSVCENTER-NoTag","20.6548","40.002","Full","Successful","VMware Backup","ausjump01.vm-451D2020-06-02T001543_7BF5.vbk","True","D:\Backups\AUSVCENTER-NoTag\ausjump01.vm-451D2020-06-02T001543_7BF5.vbk"
"ausjump01","6/2/2020 04:07:13","AUSVCENTER-NoTag","0.4887","1.0557","Increment","Successful","VMware Backup","ausjump01.vm-451D2020-06-02T040530_2037.vib","True","D:\Backups\AUSVCENTER-NoTag\ausjump01.vm-451D2020-06-02T040530_2037.vib"
"ausveeambem","6/2/2020 04:06:34","AUSVCENTER-NoTag","0.2279","0.6188","Increment","Successful","VMware Backup","ausveeambem.vm-467D2020-06-02T040530_D8A2.vib","True","D:\Backups\AUSVCENTER-NoTag\ausveeambem.vm-467D2020-06-02T040530_D8A2.vib"
"ausveeambr","6/2/2020 04:14:26","AUSVCENTER-NoTag","0.6334","1.7634","Increment","Successful","VMware Backup","ausveeambr.vm-476D2020-06-02T040530_A8A0.vib","True","D:\Backups\AUSVCENTER-NoTag\ausveeambr.vm-476D2020-06-02T040530_A8A0.vib"
"ausdev01","6/2/2020 04:06:31","AUSVCENTER-NoTag","2.1883","8.7147","Increment","Successful","VMware Backup","ausdev01.vm-449D2020-06-02T040530_2168.vib","True","D:\Backups\AUSVCENTER-NoTag\ausdev01.vm-449D2020-06-02T040530_2168.vib"
"ausveeamone","6/2/2020 04:05:45","AUSVCENTER-NoTag","0.0172","0.0001","Increment","Successful","VMware Backup","ausveeamone.vm-452D2020-06-02T040530_FD69.vib","True","D:\Backups\AUSVCENTER-NoTag\ausveeamone.vm-452D2020-06-02T040530_FD69.vib"
"ausdev01","6/2/2020 08:06:34","AUSVCENTER-NoTag","0.4063","0.9813","Increment","Successful","VMware Backup","ausdev01.vm-449D2020-06-02T080531_2966.vib","True","D:\Backups\AUSVCENTER-NoTag\ausdev01.vm-449D2020-06-02T080531_2966.vib"
"ausveeamone","6/2/2020 08:05:46","AUSVCENTER-NoTag","0.0172","0.0001","Increment","Successful","VMware Backup","ausveeamone.vm-452D2020-06-02T080531_0ED8.vib","True","D:\Backups\AUSVCENTER-NoTag\ausveeamone.vm-452D2020-06-02T080531_0ED8.vib"
"ausveeambem","6/2/2020 08:06:38","AUSVCENTER-NoTag","0.2937","0.8952","Increment","Successful","VMware Backup","ausveeambem.vm-467D2020-06-02T080531_8986.vib","True","D:\Backups\AUSVCENTER-NoTag\ausveeambem.vm-467D2020-06-02T080531_8986.vib"
"ausveeambr","6/2/2020 08:14:11","AUSVCENTER-NoTag","1.0332","2.742","Increment","Successful","VMware Backup","ausveeambr.vm-476D2020-06-02T080531_E876.vib","True","D:\Backups\AUSVCENTER-NoTag\ausveeambr.vm-476D2020-06-02T080531_E876.vib"
"ausjump01","6/2/2020 08:07:00","AUSVCENTER-NoTag","0.2157","0.4522","Increment","Successful","VMware Backup","ausjump01.vm-451D2020-06-02T080531_D22D.vib","True","D:\Backups\AUSVCENTER-NoTag\ausjump01.vm-451D2020-06-02T080531_D22D.vib"
"ausveeambem","6/2/2020 12:05:59","AUSVCENTER-NoTag","0.4543","1.1862","Increment","Successful","VMware Backup","ausveeambem.vm-467D2020-06-02T120513_6C8B.vib","True","D:\Backups\AUSVCENTER-NoTag\ausveeambem.vm-467D2020-06-02T120513_6C8B.vib"
"ausveeamone","6/2/2020 12:05:28","AUSVCENTER-NoTag","0.0172","0.0001","Increment","Successful","VMware Backup","ausveeamone.vm-452D2020-06-02T120513_4562.vib","True","D:\Backups\AUSVCENTER-NoTag\ausveeamone.vm-452D2020-06-02T120513_4562.vib"
"ausjump01","6/2/2020 12:07:02","AUSVCENTER-NoTag","0.2402","0.5215","Increment","Successful","VMware Backup","ausjump01.vm-451D2020-06-02T120513_AC2E.vib","True","D:\Backups\AUSVCENTER-NoTag\ausjump01.vm-451D2020-06-02T120513_AC2E.vib"
"ausveeambr","6/2/2020 12:13:44","AUSVCENTER-NoTag","11.9261","55.1209","Increment","Successful","VMware Backup","ausveeambr.vm-476D2020-06-02T120513_FA0F.vib","True","D:\Backups\AUSVCENTER-NoTag\ausveeambr.vm-476D2020-06-02T120513_FA0F.vib"
"ausdev01","6/2/2020 12:05:58","AUSVCENTER-NoTag","2.0056","4.535","Increment","Successful","VMware Backup","ausdev01.vm-449D2020-06-02T120513_0A1C.vib","True","D:\Backups\AUSVCENTER-NoTag\ausdev01.vm-449D2020-06-02T120513_0A1C.vib"
